 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 VMAXT     2 2024  97.890 '%'
 VMAXT     3 2024  98.980 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  97.070 '%'
 VMAXT    12 2024  95.320 '%'
 VMAXT     1 2025  97.110 '%'
 VMAXT     2 2025  97.890 '%'
 VMAXT     3 2025  98.980 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  97.070 '%'
 VMAXT    12 2025  95.320 '%'
 USINA     25                               NOVA PONTE          
 VAZMINT   2 2021  110.00
 VAZMINT   4 2021   26.80
 VAZMINT  11 2021  110.00
 VAZMINT   4 2022   26.80
 VAZMINT  11 2022  110.00
 VAZMINT   4 2023   26.80
 VAZMINT  11 2023  110.00
 VAZMINT   4 2024   26.80
 VAZMINT  11 2024  110.00
 VAZMINT   4 2025   26.80
 VAZMINT  11 2025  110.00
 VMAXT     2 2021  98.910 '%'
 VMAXT     3 2021  99.410 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  97.800 '%'
 VMAXT    12 2021  96.150 '%'
 VMAXT     1 2022  97.840 '%'
 VMAXT     2 2022  98.420 '%'
 VMAXT     3 2022  99.240 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  97.800 '%'
 VMAXT    12 2022  96.150 '%'
 VMAXT     1 2023  97.840 '%'
 VMAXT     2 2023  98.420 '%'
 VMAXT     3 2023  99.240 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  97.800 '%'
 VMAXT    12 2023  96.150 '%'
 VMAXT     1 2024  97.840 '%'
 VMAXT     2 2024  98.420 '%'
 VMAXT     3 2024  99.240 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  97.800 '%'
 VMAXT    12 2024  96.150 '%'
 VMAXT     1 2025  97.840 '%'
 VMAXT     2 2025  98.420 '%'
 VMAXT     3 2025  99.240 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  97.800 '%'
 VMAXT    12 2025  96.150 '%'
 USINA     26                               MIRANDA             
 VAZMINT   2 2021  135.00
 VAZMINT   3 2021  100.00
 VAZMINT  11 2021  135.00
 VAZMINT   3 2022  100.00
 VAZMINT  11 2022  135.00
 VAZMINT   3 2023  100.00
 VAZMINT  11 2023  135.00
 VAZMINT   3 2024  100.00
 VAZMINT  11 2024  135.00
 VAZMINT   3 2025  100.00
 VAZMINT  11 2025  135.00
 USINA     30                               CORUMBA I           
 VAZMIN        120
 USINA     31                               ITUMBIARA           
 VAZMIN         70
 VMAXT     2 2021  95.200 '%'
 VMAXT     3 2021  97.380 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  89.760 '%'
 VMAXT    12 2021  86.130 '%'
 VMAXT     1 2022  90.470 '%'
 VMAXT     2 2022  93.030 '%'
 VMAXT     3 2022  96.640 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  89.760 '%'
 VMAXT    12 2022  86.130 '%'
 VMAXT     1 2023  90.470 '%'
 VMAXT     2 2023  93.030 '%'
 VMAXT     3 2023  96.640 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  89.760 '%'
 VMAXT    12 2023  86.130 '%'
 VMAXT     1 2024  90.470 '%'
 VMAXT     2 2024  93.030 '%'
 VMAXT     3 2024  96.640 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  89.760 '%'
 VMAXT    12 2024  86.130 '%'
 VMAXT     1 2025  90.470 '%'
 VMAXT     2 2025  93.030 '%'
 VMAXT     3 2025  96.640 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  89.760 '%'
 VMAXT    12 2025  86.130 '%'
 USINA     32                               CACH.DOURADA        
 VAZMIN         20
 USINA     33                               SAO SIMAO           
 TURBMINT  2 2021  296.00
 TURBMINT  3 2021  296.00
 TURBMINT  4 2021    0.00
 TURBMINT  5 2021    0.00
 TURBMINT  6 2021    0.00
 TURBMINT  7 2021    0.00
 TURBMINT  8 2021    0.00
 TURBMINT  9 2021    0.00
 TURBMINT 10 2021    0.00
 TURBMINT 11 2021  296.00
 TURBMINT 12 2021  296.00
 TURBMINT  1 2022  296.00
 TURBMINT  2 2022  296.00
 TURBMINT  3 2022  296.00
 TURBMINT  4 2022    0.00
 TURBMINT  5 2022    0.00
 TURBMINT  6 2022    0.00
 TURBMINT  7 2022    0.00
 TURBMINT  8 2022    0.00
 TURBMINT  9 2022    0.00
 TURBMINT 10 2022    0.00
 TURBMINT 11 2022  296.00
 TURBMINT 12 2022  296.00
 TURBMINT  1 2023  296.00
 TURBMINT  2 2023  296.00
 TURBMINT  3 2023  296.00
 TURBMINT  4 2023    0.00
 TURBMINT  5 2023    0.00
 TURBMINT  6 2023    0.00
 TURBMINT  7 2023    0.00
 TURBMINT  8 2023    0.00
 TURBMINT  9 2023    0.00
 TURBMINT 10 2023    0.00
 TURBMINT 11 2023  296.00
 TURBMINT 12 2023  296.00
 TURBMINT  1 2024  296.00
 TURBMINT  2 2024  296.00
 TURBMINT  3 2024  296.00
 TURBMINT  4 2024    0.00
 TURBMINT  5 2024    0.00
 TURBMINT  6 2024    0.00
 TURBMINT  7 2024    0.00
 TURBMINT  8 2024    0.00
 TURBMINT  9 2024    0.00
 TURBMINT 10 2024    0.00
 TURBMINT 11 2024  296.00
 TURBMINT 12 2024  296.00
 TURBMINT  1 2025  296.00
 TURBMINT  2 2025  296.00
 TURBMINT  3 2025  296.00
 TURBMINT  4 2025    0.00
 TURBMINT  5 2025    0.00
 TURBMINT  6 2025    0.00
 TURBMINT  7 2025    0.00
 TURBMINT  8 2025    0.00
 TURBMINT  9 2025    0.00
 TURBMINT 10 2025    0.00
 TURBMINT 11 2025  296.00
 TURBMINT 12 2025  296.00
 VAZMIN        450
 VMAXT     2 2021  83.590 '%'
 VMAXT     3 2021  91.050 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  65.870 '%'
 VMAXT    12 2021  54.080 '%'
 VMAXT     1 2022  67.110 '%'
 VMAXT     2 2022  76.170 '%'
 VMAXT     3 2022  88.480 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  65.870 '%'
 VMAXT    12 2022  54.080 '%'
 VMAXT     1 2023  67.110 '%'
 VMAXT     2 2023  76.170 '%'
 VMAXT     3 2023  88.480 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  65.870 '%'
 VMAXT    12 2023  54.080 '%'
 VMAXT     1 2024  67.110 '%'
 VMAXT     2 2024  76.170 '%'
 VMAXT     3 2024  88.480 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  65.870 '%'
 VMAXT    12 2024  54.080 '%'
 VMAXT     1 2025  67.110 '%'
 VMAXT     2 2025  76.170 '%'
 VMAXT     3 2025  88.480 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  65.870 '%'
 VMAXT    12 2025  54.080 '%'
 USINA     37                               BARRA BONITA        
 VMAXT     2 2021  93.760 '%'
 VMINT     2 2021  48.290 '%'
 VMAXT     3 2021  94.540 '%'
 VMAXT     4 2021  95.710 '%'
 VMAXT     5 2021  96.490 '%'
 VMAXT     6 2021 100.000 '%'
 VMAXT    11 2021  87.840 '%'
 VMAXT    12 2021  73.500 '%'
 VMAXT     1 2022  77.790 '%'
 VMAXT     2 2022  84.020 '%'
 VMAXT     3 2022  86.360 '%'
 VMAXT     4 2022  94.930 '%'
 VMAXT     5 2022  96.100 '%'
 VMAXT     6 2022 100.000 '%'
 VMAXT    11 2022  87.840 '%'
 VMAXT    12 2022  73.500 '%'
 VMAXT     1 2023  77.790 '%'
 VMAXT     2 2023  84.020 '%'
 VMAXT     3 2023  86.360 '%'
 VMAXT     4 2023  94.930 '%'
 VMAXT     5 2023  96.100 '%'
 VMAXT     6 2023 100.000 '%'
 VMAXT    11 2023  87.840 '%'
 VMAXT    12 2023  73.500 '%'
 VMAXT     1 2024  77.790 '%'
 VMAXT     2 2024  84.020 '%'
 VMAXT     3 2024  86.360 '%'
 VMAXT     4 2024  94.930 '%'
 VMAXT     5 2024  96.100 '%'
 VMAXT     6 2024 100.000 '%'
 VMAXT    11 2024  87.840 '%'
 VMAXT    12 2024  73.500 '%'
 VMAXT     1 2025  77.790 '%'
 VMAXT     2 2025  84.020 '%'
 VMAXT     3 2025  86.360 '%'
 VMAXT     4 2025  94.930 '%'
 VMAXT     5 2025  96.100 '%'
 VMAXT     6 2025 100.000 '%'
 VMAXT    11 2025  87.840 '%'
 VMAXT    12 2025  73.500 '%'
 USINA     40                               PROMISSAO           
 VAZMIN        160
 VMAXT     2 2021  88.530 '%'
 VMINT     2 2021  28.950 '%'
 VMAXT     3 2021  93.750 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  75.800 '%'
 VMAXT    12 2021  28.950 '%'
 VMAXT     1 2022  76.270 '%'
 VMAXT     2 2022  83.320 '%'
 VMAXT     3 2022  91.960 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  75.800 '%'
 VMAXT    12 2022  28.950 '%'
 VMAXT     1 2023  76.270 '%'
 VMAXT     2 2023  83.320 '%'
 VMAXT     3 2023  91.960 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  75.800 '%'
 VMAXT    12 2023  28.950 '%'
 VMAXT     1 2024  76.270 '%'
 VMAXT     2 2024  83.320 '%'
 VMAXT     3 2024  91.960 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  75.800 '%'
 VMAXT    12 2024  28.950 '%'
 VMAXT     1 2025  76.270 '%'
 VMAXT     2 2025  83.320 '%'
 VMAXT     3 2025  91.960 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  75.800 '%'
 VMAXT    12 2025  28.950 '%'
 USINA     45                               JUPIA               
 VAZMINT   2 2021 4000.00
 USINA     46                               P. PRIMAVERA        
 VAZMIN       4600
 USINA     49                               CHAVANTES           
 VAZMINT   2 2021   85.00
 VMAXT     2 2021  93.470 '%'
 VMAXT     3 2021  98.690 '%'
 VMAXT     4 2021  92.180 '%'
 VMAXT     5 2021  88.320 '%'
 VMAXT     6 2021  89.610 '%'
 VMAXT     7 2021  95.420 '%'
 VMAXT     9 2021  92.830 '%'
 VMAXT    10 2021  95.450 '%'
 VMAXT    11 2021  87.690 '%'
 VMAXT    12 2021  80.100 '%'
 VMAXT     1 2022  80.720 '%'
 VMAXT     2 2022  93.470 '%'
 VMAXT     3 2022  97.380 '%'
 VMAXT     4 2022  92.180 '%'
