
         MODELO ESTOCASTICO DE GERACAO DE VAZOES   SINTETICAS - PAR(p)


                              SERIE  DE VAZOES   DA USINA FURNAS       (CONFIGURACAO No.   59)


        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ

                         6                                        I*************
                         7                                        I*********
                         8                                        I************
                         9                                        I**********
                        10                                        I***********
                        11                                        I*******



                                                    CORRELOGRAMO - FEV/POS 



                         1                                        I********************
                         2                                        I**********
                         3                                        I*****
                         4                                        I****
                         5                                        I*
                         6                                        I********
                         7                                        I********
                         8                                        I*****
                         9                                        I*************
                        10                                        I*******
                        11                                        I**********




                                                    CORRELOGRAMO - MAR/POS 



                         1                                        I************************
                         2                                        I*****************
                         3                                        I********
                         4                                        I*****
                         5                                        I******
                         6                                        I
                         7                                        I*********
                         8                                        I********
                         9                                        I****
                        10                                        I***********
                        11                                        I*******



                                                    CORRELOGRAMO - ABR/POS 



                         1                                        I*****************************
                         2                                        I***************************
                         3                                        I******************
                         4                                        I************
                         5                                        I*******
                         6                                        I*******
                         7                                        I*****
                         8                                        I***************
                         9                                        I************
                        10                                        I*******
                        11                                        I*************




                                                    CORRELOGRAMO - MAI/POS 



                         1                                        I*********************************
                         2                                        I******************************
                         3                                        I******************************
                         4                                        I*********************
                         5                                        I***************
                         6                                        I********
                         7                                        I**********
                         8                                        I******
                         9                                        I**************
                        10                                        I**************
                        11                                        I**********



                                                    CORRELOGRAMO - JUN/POS 



                         1                                        I********************************
                         2                                        I*****************************
                         3                                        I*************************
                         4                                        I*************************
                         5                                        I**********************
                         6                                        I****************
                         7                                        I********
                         8                                        I*******
                         9                                        I*****
                        10                                        I***********
                        11                                        I************




                                                    CORRELOGRAMO - JUL/POS 



                         1                                        I***********************************
                         2                                        I**********************************
                         3                                        I*******************************
                         4                                        I***************************
                         5                                        I****************************
                         6                                        I*********************
                         7                                        I***************
                         8                                        I*********
                         9                                        I********
                        10                                        I**
                        11                                        I**********



                                                    CORRELOGRAMO - AGO/POS 



                         1                                        I************************************
                         2                                        I*******************************
                         3                                        I********************************
                         4                                        I****************************
                         5                                        I**************************
                         6                                        I************************
                         7                                        I*******************
                         8                                        I*****************
                         9                                        I*************
                        10                                        I***********
                        11                                        I*****




                                                    CORRELOGRAMO - SET/POS 



                         1                                        I******************************
                         2                                        I*******************************
                         3                                        I*****************************
                         4                                        I*************************
                         5                                        I************************
                         6                                        I********************
                         7                                        I******************
                         8                                        I*************
                         9                                        I***********
                        10                                        I*********
                        11                                        I*********



                                                    CORRELOGRAMO - OUT/POS 



                         1                                        I*****************************
                         2                                        I***************************
                         3                                        I******************************
                         4                                        I******************************
                         5                                        I*************************
                         6                                        I**********************
                         7                                        I******************
                         8                                        I*********************
                         9                                        I***************
                        10                                        I*************
                        11                                        I*******




                                                    CORRELOGRAMO - NOV/POS 



                         1                                        I****************************
                         2                                        I*************************
                         3                                        I*********************
                         4                                        I***********************
                         5                                        I**********************
                         6                                        I*******************
                         7                                        I***************
                         8                                        I***************
                         9                                        I******************
                        10                                        I***************
                        11                                        I***********



                                                    CORRELOGRAMO - DEZ/POS 



                         1                                        I***************************
                         2                                        I**************************
                         3                                        I**********************
                         4                                        I***********************
                         5                                        I***********************
                         6                                        I**********************
                         7                                        I******************
                         8                                        I****************
                         9                                        I*************
                        10                                        I**************
                        11                                        I***************



                                      CORRELOGRAMO PARCIAL DA SERIE DE VAZOES  


 JAN/POS    0.45969  -0.09423  -0.15751  -0.11783   0.06436   0.08255  -0.13736   0.17110   0.03561   0.16145  -0.08348
 FEV/POS    0.41258  -0.09351  -0.04185  -0.09999  -0.15207   0.14295   0.02431  -0.04691   0.31257  -0.03741   0.10088
 MAR/POS    0.51270   0.14967  -0.04201  -0.01015   0.12858  -0.22765   0.17168   0.02106  -0.08786   0.04750   0.02757
 ABR/POS    0.59996   0.35175  -0.00575   0.02572  -0.03442  -0.09122   0.12340   0.28862  -0.05167  -0.15927  -0.23633
 MAI/POS    0.63843   0.29984   0.37754   0.04552   0.10240  -0.13445   0.12234   0.02594  -0.02126   0.14780   0.10417
 JUN/POS    0.57639   0.13245   0.00617  -0.02229   0.16254   0.10102  -0.05160  -0.20620  -0.01925  -0.10645   0.12773
 JUL/POS    0.74516   0.48588   0.11093   0.04519   0.10251   0.00994   0.06747   0.07723  -0.07731  -0.28708  -0.19389
 AGO/POS    0.76088  -0.15766   0.06549  -0.13859   0.08089  -0.18514  -0.19511   0.01311   0.19159  -0.05126  -0.05124
 SET/POS    0.57688   0.33504   0.24282  -0.15157   0.12601  -0.00942  -0.07231  -0.13720  -0.04944   0.05319   0.18970
 OUT/POS    0.53331   0.11591   0.31479   0.23945  -0.04371  -0.06174  -0.10614   0.09427  -0.04457   0.08713  -0.05001
 NOV/POS    0.53616   0.18981  -0.11069  -0.07395  -0.13330  -0.08402  -0.20034   0.04376   0.09411   0.08737  -0.02566
 DEZ/POS    0.50146   0.25406  -0.01535   0.17152   0.02421   0.01672  -0.10404   0.02672  -0.10176  -0.16417   0.05138




                                                    CORRELOGRAMO PARCIAL - JAN/POS 



                         1                                !       I*******!**********
                         2                                !    ***I       !
                         3                                ! ******I       !
                         4                                !   ****I       !
                         5                                !       I**     !
                         6                                !       I***    !
                         7                                !  *****I       !
                         8                                !       I****** !
                         9                                !       I*      !
                        10                                !       I****** !
                        11                                !    ***I       !



                                                    CORRELOGRAMO PARCIAL - FEV/POS 



                         1                                !       I*******!********
                         2                                !    ***I       !
                         3                                !      *I       !
                         4                                !    ***I       !
                         5                                ! ******I       !
                         6                                !       I*****  !
                         7                                !       I       !
                         8                                !      *I       !
                         9                                !       I*******!****
                        10                                !      *I       !
                        11                                !       I****   !




                                                    CORRELOGRAMO PARCIAL - MAR/POS 



                         1                                !       I*******!************
                         2                                !       I*****  !
                         3                                !      *I       !
                         4                                !       I       !
                         5                                !       I*****  !
                         6                               *!*******I       !
                         7                                !       I****** !
                         8                                !       I       !
                         9                                !    ***I       !
                        10                                !       I*      !
                        11                                !       I*      !



                                                    CORRELOGRAMO PARCIAL - ABR/POS 



                         1                                !       I*******!***************
                         2                                !       I*******!******
                         3                                !       I       !
                         4                                !       I*      !
                         5                                !      *I       !
                         6                                !    ***I       !
                         7                                !       I****   !
                         8                                !       I*******!***
                         9                                !     **I       !
                        10                                ! ******I       !
                        11                               *!*******I       !




                                                    CORRELOGRAMO PARCIAL - MAI/POS 



                         1                                !       I*******!*****************
                         2                                !       I*******!***
                         3                                !       I*******!*******
                         4                                !       I*      !
                         5                                !       I****   !
                         6                                !  *****I       !
                         7                                !       I****   !
                         8                                !       I*      !
                         9                                !       I       !
                        10                                !       I*****  !
                        11                                !       I****   !



                                                    CORRELOGRAMO PARCIAL - JUN/POS 



