 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0030;004;  518.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0030;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0030;005;  520.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0030;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0031;001;  432.1115
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0031;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0031;002;  432.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0031;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0031;003;  433.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0031;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0031;004;  433.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0031;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0031;005;  434.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0031;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0032;001;  397.9001
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0032;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0032;002;  398.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0032;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0032;003;  399.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0032;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0032;004;  400.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0032;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0032;005;  401.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0032;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0033;001;  322.4369
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0033;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0033;002;  325.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0033;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0033;003;  326.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0033;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0033;004;  327.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0033;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0033;005;  328.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0033;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0034;001;  280.0367
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0034;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0037;001;  426.7260
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0037;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0037;002;  427.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0037;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0037;003;  427.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0037;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0037;004;  427.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0037;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0037;005;  427.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0037;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0038;001;  403.4988
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0038;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0038;002;  403.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0038;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0038;003;  403.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0038;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0038;004;  403.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0038;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0038;005;  404.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0038;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0039;001;  381.2787
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0039;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0039;002;  382.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0039;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0039;003;  382.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0039;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0039;004;  383.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0039;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0039;005;  384.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0039;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0040;001;  356.8811
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0040;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0040;002;  357.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0040;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0040;003;  357.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0040;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0040;004;  357.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0040;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0040;005;  358.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0040;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0042;001;  324.3012
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0042;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0042;002;  325.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0042;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0042;003;  326.4000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0042;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0042;004;  327.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0042;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0042;005;  328.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0042;005;002
