***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: NEWAVE     - Versao FPHA_NEWAVE                             *
*                                                                     *
***********************************************************************


____________________________________________________________________
                                   
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
  29;  10; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;  11; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;  12; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;  13; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  48;   1; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   2; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   3; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   4; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   5; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   6; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   7; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   8; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;   9; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;  10; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;  11; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;  12; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  48;  13; PIRAJU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   346.9;    1;   105.4;   105.4;     0.0;    80.0;
  66;   1; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   2; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   3; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   4; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   5; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   6; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   7; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   8; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;   9; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
  66;  10; ITAIPU      ;  2 ;  1 ;  1 ;  1 ;    5;     0.0; 13032.8;    1; 27914.0; 27914.0;     0.0; 14000.0;
